query_name,hp_desc,hp_id,score
Irregular epiphysis of the proimal phalanx of the 3rd toe,Irregular visual pursuit movements,HP_0000617,
Neplasm of the larynx,Abnormality of the larynx,HP_0001600,
Thickened aortic valvecusp,Thickened facial skin with coarse facial features,HP_0000280,
Metacarpopalangeal synostosis,Synostosis of distal phalanges,HP_0001204,
Abnormal mitralvalve morphology,Abnormality of body height,HP_0000002,
Hypoplastic tricuspid vave,Hypoplastic uterus,HP_0000013,
Fetal chylohorax,Persistent fetal fingertip pads,HP_0001212,
Increased urine phenylacetylglutaminelevel,Increased post-void residual urine volume,HP_0000016,
Aggravate by activity,Decreased activity of gonads,HP_0000135,
EEG with central focl spikes,Central cleft upper lip,HP_0000161,
Inceased B cell count,Renal tubular cell atrophy,HP_0000092,
Triggered by monoamine oxdase inhibitor,Trigger finger,HP_0012276,
Nodular-centrilobular without tree-in-bud pattrn on pulmonary HRCT,Abnormal pulmonary valve morphology,HP_0001641,
Fusiform descending thoracic aortic anurysm,Abnormal aortic valve morphology,HP_0001646,
T2 hypointense thalaus,Focal T2 hyperintense basal ganglia lesion,HP_0007183,
Abnormality of the diaphrgm,Abnormality of body height,HP_0000002,
Increased anti-eat allergen IgE antibody level,Increased post-void residual urine volume,HP_0000016,
EEG with hyperventilation-induced generalized epileptiform dscharges,Generalized dental spacing,HP_0000687,
Aplasia/Hypoplasia of the proximal phalanx o the hallux,Hypoplasia of the uterus,HP_0000013,
obsolete Autosomal dominant contiguous gene syndrom,Autosomal dominant inheritance,HP_0000006,
Frgmentation of the epiphysis of the distal phalanx of the 5th toe,Absent distal interphalangeal creases,HP_0001032,
Congnital exfoliative erythroderma,Erythroderma,HP_0001019,
Trachealpapilloma,,,-1.0
EEG with temporal focal spiks,Focal segmental glomerulosclerosis,HP_0000097,
Increased annexin V binding to platelet phosphatidylsrine,Increased post-void residual urine volume,HP_0000016,
Abnormal CSF valineconcentration,Abnormality of body height,HP_0000002,
Trimethyaminuria,,,-1.0
Intesinal carcinoid,Small intestine carcinoid,HP_0006722,
Central diabees insipidus,Central cleft upper lip,HP_0000161,
Patchy sclerosis of the distal halanx of the 2nd toe,Glomerular sclerosis,HP_0000096,
Stif elbow,Limited elbow extension,HP_0001377,
Spastic hemiparetic ait,Spasticity,HP_0001257,
Aloecia of scalp,Prominent scalp veins,HP_0001043,
Abnormal skinfld thickness measurement,Abnormality of body height,HP_0000002,
Limited wrist moement,Limited jaw mobility,HP_0000211,
ST sement elevation,St. Anthony's Fire,HP_0001055,
Abnormal Bowman space orphology,Abnormality of body height,HP_0000002,
Absent,Absent sperm in semen,HP_0000027,
Bta-cell dysfunction,Renal tubular cell atrophy,HP_0000092,
anniculitis,,,-1.0
Hypopiuitarism,,,-1.0
Increased glucose-6-phosphate dehydrogenase level intissue,Increased post-void residual urine volume,HP_0000016,
hondrocalcinosis,,,-1.0
Fetal cerebral parenchymal hemorrhae,Persistent fetal fingertip pads,HP_0001212,
Low alkalinephosphatase of bone origin,Low gonadotropins (secondary hypogonadism),HP_0000044,
Morggni diaphragmatic hernia,Inguinal hernia,HP_0000023,
obsolete Abnormality of the epiphyses of the termnal phalanx of the middle finger,Abnormality of body height,HP_0000002,
Conspicuously happy disposiion,Happy demeanor,HP_0040082,
Horeshoe kidney,Multicystic kidney dysplasia,HP_0000003,
Muscle fiber hyalne bodies,Abnormality of body height,HP_0000002,
Focal aware perseverativ automatism seizure,Focal segmental glomerulosclerosis,HP_0000097,
Blind vagna,Blue yellow color blindness,HP_0000552,
Hepatic firosis,Hepatic cirrhosis,HP_0001394,
Abnormal circulating metabolite concentratio,Abnormality of body height,HP_0000002,
Global glomeruloslerosis,Global developmental delay,HP_0001263,
Long styloid process of una,Long penis,HP_0000040,
Abnormal lymphcyte count,Abnormality of body height,HP_0000002,
Foca sensory seizure with hot-cold sensations,Abnormality of taste sensation,HP_0000223,
Complete uplication of the proximal phalanx of the 5th toe,Proximal tubulopathy,HP_0000114,
Imbalanced hemoglobin ynthesis,Increased hemoglobin,HP_0001900,
Increaed circulating purine concentration,Increased circulating gonadotropin level,HP_0000837,
Pregnancy hitory,Pregnancy history,HP_0002686,
Real glomerular foam cells,Renal tubular cell atrophy,HP_0000092,
rackles,,,-1.0
P wve inversion,T-wave inversion in the right precordial leads,HP_0003140,
Foveal phooreceptor outer segment loss on macular OCT,Loss of bladder control,HP_0000020,
Hyperosthenuri,,,-1.0
Heinz body aemia,Abnormality of body height,HP_0000002,
Cone ystrophy,Rod-cone dystrophy,HP_0000510,
essier number 3 facial cleft,Cleft of scrotum,HP_0000048,
Double inlet to singl ventricle of indeterminate morphology,Abnormal morphology of female internal genitalia,HP_0000008,
Dilatation of te bladder,Functional abnormality of the bladder,HP_0000009,
Inflamatory arteriopathy,Inflammatory arteriopathy,HP_0005291,
Tempoal lobe megalencephaly,Abnormal lobe of ear,HP_0000363,
Decresed circulating fetuin A concentration,Increased circulating gonadotropin level,HP_0000837,
Proximal aortic arch hypoplasa,Proximal tubulopathy,HP_0000114,
Abnormal eythrocyte metabolite concentration,Abnormality of body height,HP_0000002,
Central nervou system cyst,Lack of bladder control due to nervous system injury,HP_0000011,
Monoclonal elevtion of IgG kappa chain,Increased circulating IgG level,HP_0003237,
Glima,,,-1.0
EEG with 4-5/econd background activity,Decreased activity of gonads,HP_0000135,
Cytochrome C oxidase-negativ muscle fibers,Pain of muscles of mastication,HP_0000211,
Aplasia of the proximal phalanx of the hllux,Renal aplasia,HP_0000104,
Abnormal joint mrphology,Abnormality of body height,HP_0000002,
Abdominal rigdity,Abdominal protuberance,HP_0001538,
Decreased size of nerve erminals,Decreased function of male gonad,HP_0000026,
Bulletshaped middle phalanx of the 3rd finger,Abnormality of the middle ear,HP_0000370,
Triangular shaped phalanges of he 5th toe,Triangular mouth,HP_0000207,
Testcular fibrosis,Renal glomerular fibrosis,HP_0000096,
Complete duplication of thedistal phalanx of the 5th finger,Ureteral duplication,HP_0000073,
Abnormal protein O-inked glycosylation,Abnormality of body height,HP_0000002,
Decreased QS voltage,Decreased function of male gonad,HP_0000026,
Neurocytoa,,,-1.0
Curved distalphalanx of the thumb,Abnormal curving of the cornea or lens of the eye,HP_0000483,
Anti-p53 antibody positiviy,Neutropenia in presence of anti-neutropil antibodies,HP_0001904,
Moderate oliozoospermia,"Intellectual disability, moderate",HP_0002342,
Hypersegmentation f proximal phalanx of third finger,Proximal tubulopathy,HP_0000114,
Ecolalia,,,-1.0
Chronic decreaed circulating IgD,Chronic otitis media,HP_0000389,
Cone-shaped epiphysisof the proximal phalanx of the 3rd finger,Proximal tubulopathy,HP_0000114,
Annlar pancreas,Abnormality of the pancreas,HP_0001732,
Abnormal von Willebrand factor multimer ditribution,Abnormality of body height,HP_0000002,
Abnormal sperm principalpiece morphology,Abnormality of body height,HP_0000002,
Abnormal bone collagen fibri morphology,Abnormality of body height,HP_0000002,
Hypohermia,,,-1.0
Rapidly proressive,Rapidly progressive,HP_0003678,
Distal tapering ofmetatarsals,Absent distal interphalangeal creases,HP_0001032,
Renal tubularviral cytopathic changes,Multicystic renal dysplasia,HP_0000003,
Increased circulating lipoproteinlipase concentration,Increased post-void residual urine volume,HP_0000016,
Moyaoya phenomenon,Oculodigital phenomenon,HP_0001483,
Unilateral wrist flexon contracture,Unilateral renal agenesis,HP_0000122,
Sterle pyuria,Pyuria,HP_0012085,
Micrmelia,,,-1.0
Abnormality ofanterior ethmoidal artery,Abnormality of body height,HP_0000002,
Kernicerus,,,-1.0
Abnormal parietalbone morphology,Abnormality of body height,HP_0000002,
Symptomaticseizures,,,-1.0
Finger flexor weaknes,Distal finger flexion creases absent,HP_0001032,
Xanthomas of th palmar creases,Single transverse palmar crease,HP_0000954,
Insufficientresponse to short acting pulmonary vasodilator,Short penis,HP_0000054,
Abnormal proerthroblast morphology,Abnormality of body height,HP_0000002,
Increased urinary multiantennary salylated oligosaccharide,Recurrent urinary tract infections,HP_0000010,
Sclerosis of th distal phalanx of the 3rd finger,Glomerular sclerosis,HP_0000096,
Irregular yelin loops,Irregular visual pursuit movements,HP_0000617,
Real cortical adenoma,Renal cortical cysts,HP_0000803,
Female fetal viriliztion,Abnormal morphology of female internal genitalia,HP_0000008,
Abnormal seru estriol,Abnormality of body height,HP_0000002,
Abnormal liver sonograph,Abnormality of body height,HP_0000002,
Broad xiphoid prcess,Broad mouth,HP_0000154,
Pericentrl scotoma,Scotoma,HP_0000575,
Abnormality of fibula orphology,Abnormality of body height,HP_0000002,
Stippling of he epiphysis of the distal phalanx of the thumb,Absent distal interphalangeal creases,HP_0001032,
Unilateral renl dysplasia,Multicystic kidney dysplasia,HP_0000003,
Inreased intraabdominal fat,Increased amount of facial fat,HP_0000287,
Bilinage myelodysplasia,Myelodysplasia,HP_0002863,
Elevated circulating glutarylcarnitine concentation,Elevated palate,HP_0000218,
Limited shoulder flexin,Limited jaw mobility,HP_0000211,
Abnormal pulmonry valve morphology,Abnormality of body height,HP_0000002,
omiting,,,-1.0
Non-acdotic proximal tubulopathy,Proximal tubulopathy,HP_0000114,
obsolete Focal aware cognitive seizure with impaired atention,obsolete Clitoromegaly,HP_0000057,
Focal aware emotional seizre with agitation,Focal segmental glomerulosclerosis,HP_0000097,
Decreased muscle glycgen content,Decreased function of male gonad,HP_0000026,
Caritinuria,,,-1.0
road 4th toe,Short fingers or toes,HP_0001156,
Hypoplasia of the cacaneus,Hypoplasia of the uterus,HP_0000013,
Increased CSF aspartate concenration,Increased post-void residual urine volume,HP_0000016,
Abormality of the orbital region,Depressed malar region,HP_0000272,
Abnormal retinal vascular mrphology,Abnormality of body height,HP_0000002,
Chromosoal breakage induced by ionizing radiation,Warfarin-induced skin necrosis,HP_0001038,
Posteriorhelix pit,Lower lip pit,HP_0000196,
Sclerotic foci i forearm bones,Bossing of parietal bone,HP_0000242,
Abnormal mdullary peritubular capillary lumen morphology,Abnormality of body height,HP_0000002,
Hemangima of the lip,Underdeveloped vaginal lips,HP_0000059,
Fagmentation of the epiphysis of the proximal phalanx of the 2nd toe,Proximal tubulopathy,HP_0000114,
Aplasia/Hypoplasia of the middle halanges of the hand,Hypoplasia of the uterus,HP_0000013,
Sclerosis of the proximal phalanx o the 2nd finger,Glomerular sclerosis,HP_0000096,
Streaks of hyperkeratosis along each finger ont the palm,Gingival hyperkeratosis,HP_0000222,
Temporal opticdisc pallor,Abnormality of mastoid process of temporal bone,HP_0000264,
Intrapulmnary shunt,Cardiac shunt,HP_0001693,
obsolete House ust mite allergy,obsolete Clitoromegaly,HP_0000057,
obsolete SevereT lymphocytopenia,obsolete Clitoromegaly,HP_0000057,
Nutritin history,Pregnancy history,HP_0002686,
Dependency onparenteral nutrition,Neonatal insulin-dependent diabetes mellitus,HP_0000857,
Fragmentation of the epiphyss of the middle phalanx of the 5th finger,Abnormality of the middle ear,HP_0000370,
Panhypogamaglobulinemia,,,-1.0
Clinodactyly of the5th finger,Distal finger flexion creases absent,HP_0001032,
Choroidal hmangioma,Choroid coloboma,HP_0000567,
Tetaparesis,,,-1.0
Ameia,,,-1.0
halazion,,,-1.0
Ueteral hypoplasia,Hypoplasia of the uterus,HP_0000013,
Sercoral ulcer,Oral ulcer,HP_0000155,
Triangular mouh,Triangular mouth,HP_0000207,
Rachitic rsary,Rachitic rosary,HP_0000897,
Effort-induced polymorhic ventricular tachycardia,Warfarin-induced skin necrosis,HP_0001038,
obsolete Severe neonatal hypotona in males,Abnormal male internal genitalia morphology,HP_0000022,
Mucinous cystic eoplasm of the pancreas,Cystic kidney disease,HP_0000107,
Focal non-convulsive staus epilepticus with impairment of consciousness,Focal segmental glomerulosclerosis,HP_0000097,
Musclefiber inclusion bodies,Abnormality of body height,HP_0000002,
Complete duplication of the,Ureteral duplication,HP_0000073,
Decreased level of histidine-richglycoprotein,Decreased function of male gonad,HP_0000026,
Antecubital pterygiu,Antecubital pterygium,HP_0009760,
Social and ccupational deterioration,Impaired social interactions,HP_0000735,
Flattene metatarsal heads,Abnormality of head or neck,HP_0000152,
Abnormal metacarpophalangeal oint morphology,Abnormality of body height,HP_0000002,
Seletal muscle steatosis,Pain of muscles of mastication,HP_0000211,
Osteolytic defects of the proimal phalanx of the 4th finger,Genital defects,HP_0000078,
Asymmetryof the nares,Hypoplastic nares,HP_0000430,
Fetal cerebellar vermis hemorrhge,Persistent fetal fingertip pads,HP_0001212,
EEG with generalized harp slow waves,Slow saccadic eye movements,HP_0000514,
Spontaeous pneumothorax,Pneumothorax,HP_0002107,
Hair-nail ectoermal dysplasia,Multicystic kidney dysplasia,HP_0000003,
Focal emotionalseizure with crying,Focal segmental glomerulosclerosis,HP_0000097,
spartic aciduria,Organic aciduria,HP_0001992,
Chronic xonal neuropathy,Chronic otitis media,HP_0000389,
Anti-MDA antibody positivity,External ear position defect,HP_0000357,
Stomatoytosis,,,-1.0
Reeated implantation failure,Renal failure,HP_0000083,
Facal diplegia,Spastic diplegia,HP_0001264,
Broad halanges of the 4th finger,Broad mouth,HP_0000154,
Aplastic/Hypolastic nasopharyngeal adenoids,Aplastic nails,HP_0001798,
Abnormal hippocampus mophology,Abnormality of body height,HP_0000002,
Bronchoconstrition,,,-1.0
Abnomal size of the clitoris,Abnormal clitoris morphology,HP_0000056,
Venou stenosis,Ureteral stenosis,HP_0000071,
obsolete Abnormality of the oculr region,Abnormality of body height,HP_0000002,
Hypophosphateia,,,-1.0
Blpharitis,,,-1.0
EMG: chronic denervationsigns,Chronic otitis media,HP_0000389,
EEG with eneralized low amplitude activity,Low gonadotropins (secondary hypogonadism),HP_0000044,
Patial duplication of the proximal phalanx of the 3rd toe,Ureteral duplication,HP_0000073,
Fractured epiphysis of second meacarpal bone,Bossing of parietal bone,HP_0000242,
Redced delayed hypersensitivity,Delayed cranial suture closure,HP_0000270,
Neurite dystropy,Neurite dystrophy,HP_0025713,
Triggred by galactose ingestion,Hemolytic anaemia following ingestion of fava beans,HP_0004814,
Triggered b head trauma,Abnormality of head or neck,HP_0000152,
Median left lip,Underdeveloped vaginal lips,HP_0000059,
Irregular epiphysis of the distal phalanx o the 5th finger,Irregular visual pursuit movements,HP_0000617,
Apical pulmoary opacity,Lens opacities,HP_0000518,
Abnormal circulating cenzyme concentration,Abnormality of body height,HP_0000002,
Panic attck,Panic attack,HP_0025269,
odocyte infolding,Podocyte infolding,HP_0033483,
Short proximl phalanx of the 3rd toe,Short penis,HP_0000054,
Pulmonar valve atresia,"Urethral atresia, male",HP_0000052,
Double aortic arc,Double ureter,HP_0000073,
Lip telangiectasa,Underdeveloped vaginal lips,HP_0000059,
Inratesticular abscess,obsolete Hepatic abscesses due to immunodeficiency,HP_0001400,
Spontaneous esopageal perforation,Spontaneous closure of eyelid,HP_0000643,
5-minute APGR score of 6,Decreased bone mineral density Z score,HP_0004349,
Hypohidrsis,,,-1.0
Duplication of the proximal palanx of hand,Ureteral duplication,HP_0000073,
Dsplasia of the superior cerebellar vermis,Superior pectus carinatum,HP_0000917,
Focal impaired awarenessverbal automatism seizure,Focal segmental glomerulosclerosis,HP_0000097,
Serrated icisors,Iliac crest serration,HP_0008786,
Congenita curved nail of fourth toe,Abnormal curving of the cornea or lens of the eye,HP_0000483,
Increased rinary zinc level,Increased post-void residual urine volume,HP_0000016,
Metabolic alkaosis,Abnormality of Krebs cycle metabolism,HP_0000816,
Impaired renal tubular rabsorption of bicarbonate,Multicystic renal dysplasia,HP_0000003,
Anti-CSPR2,Neutropenia in presence of anti-neutropil antibodies,HP_0001904,
Malignant ovarian granulsa cell tumor,Renal tubular cell atrophy,HP_0000092,
Hyereosinophilia,,,-1.0
Bradypna,,,-1.0
Abnormal urinary uromdulin level,Abnormality of body height,HP_0000002,
Hir xenobiotic,Presence of xenobiotic,HP_0031838,
Abnormality of the musculature of thethorax,Abnormality of body height,HP_0000002,
andal gap,Gaps between teeth,HP_0000699,
Partial duplication ofthe proximal phalanx of the hallux,Ureteral duplication,HP_0000073,
2nd-5th oe middle phalangeal hypoplasia,Hypoplasia of the uterus,HP_0000013,
Everted uper lip vermilion,Underdeveloped vaginal lips,HP_0000059,
Decreased circulating mannose-binding protei concentration,Decreased function of male gonad,HP_0000026,
Lentigo mligna melanoma,Melanoma,HP_0002861,
Quadriceps aplasa,Quadriceps muscle weakness,HP_0003731,
Primary central nrvous system lymphoma,Lack of bladder control due to nervous system injury,HP_0000011,
Abnormal cortical radial artey intima/media morphology,Abnormality of body height,HP_0000002,
Hypoplasi of the olfactory bulb,Olfactory lobe agenesis,HP_0001341,
Mozart ea,Mozart ear,HP_0030677,
Abnormal propotion of CD4+ effector memory cells,Abnormality of body height,HP_0000002,
Deth in infancy,Death in infancy,HP_0001522,
Triangular shaped proximal palanx of the 3rd finger,Proximal tubulopathy,HP_0000114,
Abnormality of palatoglossus musle,Abnormality of body height,HP_0000002,
Total absence von Willebrand actor multimers,Abnormal absence of menstruation,HP_0000141,
Scotoa,,,-1.0
Chronicmonilial nail infection,Recurrent urinary tract infections,HP_0000010,
Preatal movement abnormality,Abnormality of body height,HP_0000002,
Neonatal short-limb shrt stature,Short penis,HP_0000054,
Hyprcalciuria,,,-1.0
Acute brnchitis,Acute sinusitis,HP_0000255,
Cervicomedullary schiss,Cervicomedullary schisis,HP_0030325,
Shot 5th toe,Short fingers or toes,HP_0001156,
Retina arteriolar tortuosity,Abnormal retina,HP_0000479,
Epianthus inversus,Epicanthus inversus,HP_0000537,
Crstalluria,,,-1.0
Abnormality of the alternative complement athway,Abnormality of body height,HP_0000002,
Prelingual sensorineural hearing imairment,Hearing abnormality,HP_0000364,
Torsade de poines,Torsade de pointes,HP_0001664,
Angulated humers,Posteriorly angulated ears,HP_0000358,
Lacrimal duct stenois,Absence of Stensen duct,HP_0000198,
Trigered by febrile illness,Febrile seizure (within the age range of 3 months to 6 years),HP_0002373,
Diaphysel dysplasia,Multicystic kidney dysplasia,HP_0000003,
Decreased left ventriular end-diastolic volume,Increased post-void residual urine volume,HP_0000016,
Incresed urine succinate level,Increased post-void residual urine volume,HP_0000016,
Hypothalamic luteinizing hormone-releasing hormone deficiecy,Frontal release signs,HP_0000743,
Bilateral facial pasy,Facial abnormality,HP_0000271,
Splenogondal fusion,Rib fusion,HP_0000902,
Cone-saped epiphyses of the 2nd toe,Rod-cone dystrophy,HP_0000510,
Gastic neurofibroma,Neurofibroma,HP_0001067,
Bicuspid aortic vlve,Abnormal aortic valve morphology,HP_0001646,
Nongranulomatos uveitis,Uveitis,HP_0000554,
Metrorrhagi,,,-1.0
Abnorml pitch,High pitched voice,HP_0001620,
Thiamine-responsive megaloblatic anemia,No light-evoked response on electroretinogram,HP_0000550,
Abormal circle of Willis morphology,Abnormal morphology of female internal genitalia,HP_0000008,
Episodicparoxysmal anxiety,Anxiety,HP_0000739,
Patchy sclerosis of the proximal phalanx of the 4th fingr,Glomerular sclerosis,HP_0000096,
Hyopigmentation of the fundus,Abnormal fundus morphology,HP_0001098,
Focal myoclnic seizure,Focal segmental glomerulosclerosis,HP_0000097,
Anagen efluvium,Anagen effluvium,HP_0025469,
Hyospadias,,,-1.0
Chorioretinal colobom,Abnormal chorioretinal morphology,HP_0000532,
Adrenal yperplasia,Abnormality of the adrenal glands,HP_0000834,
Bifid epiglotis,Bifid scrotum,HP_0000048,
Hemihypertrophy of lwer limb,Abnormality involving the diaphyses of the limbs,HP_0000940,
Paraplegi/paraparesis,Spastic paraparesis,HP_0002313,
Abnormality of uscle size,Abnormality of body height,HP_0000002,
Decreased serum,Decreased function of male gonad,HP_0000026,
Basal gaglia cysts,Renal cyst,HP_0000107,
Hypoestesia,,,-1.0
Elevated cirulating 3-hydroxylinoleylcarnitine concentration,Elevated palate,HP_0000218,
Anti-SO1 antibody,Neutropenia in presence of anti-neutropil antibodies,HP_0001904,
Interstital dermal edema,Facial edema,HP_0000282,
Peripheral pulmonary artry stenosis,Ureteral stenosis,HP_0000071,
Radia deviation of finger,Globe retraction and deviation on abduction,HP_0000497,
Plmoplantar erythema,Facial erythema,HP_0001041,
Duplication of the distal phalanx o hand,Ureteral duplication,HP_0000073,
True hermaphrodtism,True denticles,HP_0003771,
Lare iliac wing,Hypoplastic nasal wings,HP_0000430,
Pseudoepiphysis ofthe distal phalanx of the 3rd finger,Absent distal interphalangeal creases,HP_0001032,
Inferiorly positiond umbilicus,Pectus excavatum inferiorly,HP_0000915,
Protuding coccyx,Long coccyx,HP_0002831,
Neutrophil nuclar clefts,Cleft of scrotum,HP_0000048,
Night swats,Night blindness,HP_0000662,
Glomerular sbepithelial deposits,Glomerular sclerosis,HP_0000096,
Decreased SF biopterin level,Decreased function of male gonad,HP_0000026,
Juvenile myelomonocyti leukemia,juvenile nephronophthisis,HP_0000090,
Cuved proximal phalanx of the 5th finger,Proximal tubulopathy,HP_0000114,
Abnormal vestbular saccule morphology,Abnormality of body height,HP_0000002,
Small epiphysesof the 2nd toe,Small uterus,HP_0000013,
Centrally nucleatedskeletal muscle fibers,Central cleft upper lip,HP_0000161,
Abnormal morpology of the shoulder musculature,Abnormality of body height,HP_0000002,
obsolete Papillary cystadnoma of the epididymis,obsolete Clitoromegaly,HP_0000057,
Abnormal muscle fiber-type distribtion,Abnormality of body height,HP_0000002,
