hp_id,synonym,typo
HP_0000060,Clitoral hypoplasia,Clitoralchypoplaifia
HP_0000060,Hypoplastic clitoris,Hypopvlastrcclitoris
HP_0000060,Small clitoris,Smaxl clitris
HP_0000060,Underdeveloped clit,Undeprdrevelopeb clit
HP_0000061,"Ambiguous genitalia, female","mbiguousueitalia, female"
HP_0000061,Atypical appearance of female genitals,Amypccalhaapparance of femalz gwenitals
HP_0000061,Ambiguous genitalia due to virilization,Albigouus genitapiag due to vitrilzatio
HP_0000062,Ambiguous genitalia,Anbiguous ogenialia
HP_0000062,Ambiguous external genitalia,Ambiguous exbernolzgenivala
HP_0000062,Ambiguous external genitalia at birth,Ambgiguosu external gewiuala at brithp
HP_0000062,Intersex genitalia,ntersex genittalia
HP_0000063,Fused labia minora,Fusd labai minqra
HP_0000063,Fused inner lips,eFused inwer lips
HP_0000064,Hypoplastic labia minora,Hyposalasticylabia minoora
HP_0000064,Underdeveloped inner lips,Unxnerdeevlopde inner ips
HP_0000065,Labial hypertrophy,Labial wypertrlphv
HP_0000065,Enlarged vaginal lips,Elrageed vaginalalips
HP_0000065,Enlargement of the labia,Envlatrement fof the labia
HP_0000065,Enlargement of the vaginal lips,Eqaruement o th evaminal lips
HP_0000066,Labial hypoplasia,Labial ygoplasdia
HP_0000066,Hypoplastic labia,Hqpopvastic labiga
HP_0000066,Underdeveloped labia,hUzndereveloped lqbia
HP_0000068,Urethral atresia,rUitghral atresia
HP_0000068,Absent urethral opening,Absezt urethcal opeinn
HP_0000068,Urethral opening absent,Uerthral oennigq absent
HP_0000069,Abnormality of the ureter,Abnormalnit f the uyrete
HP_0000069,Abnormality of the ureters,mAbnrmalty ofithe ureters
HP_0000069,Ureter issue,Urter issue
HP_0000069,Ureteral anomalies,Uretecal anomleis
HP_0000071,Ureteral stenosis,Ureteralvotenoiss
HP_0000071,Narrowing of the ureter,Narrowfiabng of the reter
HP_0000072,Hydroureter,Hdrourete
HP_0000072,Dilated ureter,ilated upreter
HP_0000072,Megaureter,Meugareter
HP_0000072,Swelling of ureter,Swelinlg of urteer
HP_0000072,Ureteral dilatation,Urketyral tilatation
HP_0000072,Wide ureter,Wide uerer
HP_0000072,Uroureter,Urouaeter
HP_0000073,Ureteral duplication,Ueteral duplicjtkon
HP_0000073,Double ureter,Duoble uretyer
HP_0000074,Ureteropelvic junction obstruction,Ureteroperlvicujcotin obstruction
HP_0000074,Pelviureteric junction obstruction,Pelviquretehric junctionozbstuctino
HP_0000074,Ureteropelvic junction stenosis,Ureteroeplvc junctions etnoisi
HP_0000075,Renal duplication,Redal dupliatio
HP_0000075,Extra kidney,Extra kidejy
HP_0000075,Supernumerary kidney,Sueprnumfraryk iney
HP_0000076,Vesicoureteral reflux,Vesicourueteralreflux
HP_0000076,Ureteral reflux,Uretrla reilux
HP_0000076,Ureteric reflux,Ufeteric refnlx
HP_0000076,Vesico-ureteral reflux,cesico-ueteral eflux
HP_0000076,Vesicoureteric reflux,weicoureaeric erflux
HP_0000077,Abnormality of the kidney,Abnormaliyt okthe ioney
HP_0000077,Abnormal kidney,Abnormla kinney
HP_0000077,Renal anomalies,Rnll anomalie
HP_0000077,Renal anomaly,Renhl anomvly
HP_0000078,Abnormality of the genital system,Abnormlneiy of thke gential system
HP_0000078,Genital abnormalities,Gneital abnowrmalitijs
HP_0000078,Genital abnormality,Genitalkabnoroalty
HP_0000078,Genital anomalies,Gzential anomales
HP_0000078,Genital defects,Geniwtsl deiects
HP_0000078,Abnormality of the reproductive system,Abnormality of thce rhproductiyve xkystmpem
HP_0000079,Abnormality of the urinary system,Abnordaflitj of feh urinary sytem
HP_0000079,Urinary tract abnormalities,Uqrinary trcnt abnormalctiep
HP_0000079,Urinary tract abnormality,Urinar ytruact anbomlity
HP_0000079,Urinary tract anomalies,Urqiary tract anomaies
HP_0000080,Abnormality of reproductive system physiology,Abnormality ofs erprfouctive sysutea nphsiolggy
HP_0000080,Abnormality of genital physiology,Abnormoality f genital dpyiology
HP_0000080,Genital functional abnormality,jental fuectionar anbormality
HP_0000081,Duplicated collecting system,Duplicaet ncollectxing ysstem
HP_0000081,Double collecting system,Double cllecting systeym
HP_0000081,Double urinary collecting systems on intravenous pyelography,Double ubianry collectting syestemnson intarvneo upelyography
HP_0000081,Duplex collecting system,Dulex collecoig ssytem
HP_0000081,Duplicated renal collecting system,Duplicated renal cllectin gscbnte
HP_0000083,Renal insufficiency,Renal isukficciency
HP_0000083,Renal failure,Renal failure
HP_0000083,Renal failure in adulthood,Reyynal failuer in adulohod
HP_0000085,Horseshoe kidney,Horseshoe kizmdney
HP_0000085,Fused kidneys,Fused kdfeys
HP_0000085,Horseshoe kidneys,Horseshoebkdienys
HP_0000086,Ectopic kidney,Ectopfic kidneh
HP_0000086,Abnormal kidney location,Abnormal kiney loctaijopn
HP_0000086,Displaced kidney,Displeacced kidne
HP_0000086,Ectopic kidneys,jctopicl ekidneys
HP_0000086,Renal ectopia,Renal echtopa
HP_0000089,Renal hypoplasia,Renal hyppopsaia
HP_0000089,Hypoplastic kidney,Hypoplastic kidv
HP_0000089,Hypoplastic kidneys,Hypopaslltic kidneys
HP_0000089,Small kidneys,Smallq ikdneys
HP_0000089,Underdeveloped kidneys,Underdevelopehdk idnye
HP_0000090,Nephronophthisis,Nephronohthsisi
HP_0000090,juvenile nephronophthisis,juvxenilep nehhronophthvsis
HP_0000091,Abnormal renal tubule morphology,Abnormral rfea tubule mrphology
HP_0000091,Abnormality of the renal tubule,bnorwalaty of tereanl tubule
HP_0000091,Morphologic abnormality of the renal tubules,orphologirnc abnormvliqty of teh renal tubules
HP_0000092,Renal tubular atrophy,Reaen tubulara trophy
HP_0000092,Renal tubular cell atrophy,zRenol tuobular cell atropyh
HP_0000092,Tubular atrophy,Tubular shroplhy
HP_0000093,Proteinuria,Proteainuia
HP_0000093,High urine protein levels,Hjigh urin promtein lveels
HP_0000093,Protein in urine,Protnei io urine
HP_0000095,Abnormal renal glomerulus morphology,Aboinraml renal gluomeurlus omrphology
HP_0000095,Abnormality of renal glomerulus morphology,ebnormalithy o frenllomerulus mrphology
HP_0000095,Morphologic abnormality of the renal glomerulus,Morpholoic anormality of teh ren lglomerulus
HP_0000096,Glomerular sclerosis,Gllmuqular scerosis
HP_0000096,Renal glomerular fibrosis,Rean glomerfuwr fibrosis
HP_0000096,Glomerulosclerosis,Glomerulodclebsois
HP_0000097,Focal segmental glomerulosclerosis,Focalsgeemntal glmoertlosclegosis
HP_0000097,Focal and segmental glomerular sclerosis,okocal nad shgmental glomerular sckceross
HP_0000097,Focal and segmental glomerulosclerosis,ocal and segmental lomrefloclrsois
HP_0000097,focal glomerulosclerosis,fcal glomeurlosclerosis
HP_0000098,Tall stature,Tall tsture
HP_0000098,Accelerated linear growth,Acceljerateq litear growth
HP_0000098,Increased body height,nuIcrxeasde body height
HP_0000098,Increased linear growth,Increased lineasu growth
HP_0000099,Glomerulonephritis,Glomertulonpehritsi
HP_0000099,Glomerular nephritis,Golmerulgr nephritsin
HP_0000100,Nephrotic syndrome,Ngexhreotic syndrome
HP_0000100,Nephrosis,Nephrosivs
HP_0000103,Polyuria,Polyrria
HP_0000103,Increased urine output,Increisedx urine outpt
HP_0000104,Renal agenesis,Renbalwagenesis
HP_0000104,Absent kidney,Absentk vdney
HP_0000104,Missing kidney,kissing dkidney
HP_0000104,Renal aplasia,Reynal aplaia
HP_0000105,Enlarged kidney,Enarged kidqnqey
HP_0000105,Large kidneys,Largeakjdneys
HP_0000105,Nephromegaly,Nephromealyc
HP_0000105,Renal enlargement,enal enlargmeent
HP_0000105,Large kidney,Largekidneh
HP_0000107,Renal cyst,Renal cypts
HP_0000107,Kidney cyst,idney qcyst
HP_0000107,Cystic kidney disease,Cystimc kidqey isxase
HP_0000107,Cystic kidneys,Cystic kidoneysb
HP_0000107,Renal cysts,Rxenal custs
HP_0000108,Renal corticomedullary cysts,Rvnqf corticomeullarly cysts
HP_0000108,Corticomedullary renal cysts,Coritcoemdullary reonl cysts
HP_0000108,Renal corticomedullary cystic disease,Rnal corgicomeulalry cydstic idseaxse
HP_0000110,Renal dysplasia,Renal dydslsia
HP_0000110,Dysplastic kidneys,ypslasticbkidneys
HP_0000110,Renal adysplasia,Renal uadsplasea
HP_0000112,Nephropathy,Nephrogathyv
HP_0000112,Kidney damage,Kdeny damage
HP_0000112,Kidney disease,Kdney idsease
HP_0000113,Polycystic kidney dysplasia,Ploycystic kidnlyadysplxasoa
HP_0000113,Enlarged polycystic kidneys,nEalrged polycystsc kdenys
HP_0000113,Polycystic kidneys,Ploycystc kirneys
HP_0000113,Polycystic kidney disease,Ptlycystic mkidney isasre
HP_0000114,Proximal tubulopathy,oximal tubulspauhy
HP_0000114,Proximal renal tubule defect,Pzoxima lrenal tzubule dfebct
HP_0000114,Proximal renal tubulopathy,aPrllximal renal tubpulopathy
HP_0000114,Proximal tubular defect,Proximalu tbula defoct
HP_0000114,Proximal tubule dysfunction,Proxizal tubuue kyfsunctivon
HP_0000114,Selective proximal tubular damage,Selecthive proximal tjubula rdmage
HP_0000117,Renal phosphate wasting,Renal sphsphtae wasbing
HP_0000117,Decreased renal tubular phosphate reabsorption,xecreasedrval tubular phokppate reasorption
HP_0000117,Decreased tubular maximum for phosphate reabsorption per glomerular filtration rate,Dereaesd tdbulor mziamtum for shphqsphate reabsortpion per gomerular filtrhatijonp rate
HP_0000117,Tubular phosphate reabsorption low,Tublar phosphat refabosrtpbon low
HP_0000119,Abnormality of the genitourinary system,Abnormlitbo f te genitouinard systemu
HP_0000119,Abnormality of the GU system,Anormasityof the GU msystme
HP_0000119,Genitourinary abnormality,eGntiouirnary jbnormagity
HP_0000119,Genitourinary tract anomalies,Gtenitourieary traco amalies
HP_0000119,Genitourinary tract malformation,Gexjiturinaytract malformation
HP_0000119,Urogenital abnormalities,Urgoenital abnormailtnesx
HP_0000119,Urogenital anomalies,Urodenital anmoalies
HP_0000119,Genitourinary disease,Genitourilary dpsease
HP_0000119,Genitourinary dysplasia,teGnitourinaryzysplasia
HP_0000121,Nephrocalcinosis,Neprhocalcinoin
HP_0000121,Too much calcium deposited in kidneys,Toomujch caclium deaposxind in kidneys
HP_0000121,Increased calcium level in kidney,spcreas dcalcum level in kfdney
HP_0000122,Unilateral renal agenesis,Uniltaeraelerena ageneis
HP_0000122,Absent kidney on one side,Abnst kidrea on one fide
HP_0000122,Missing one kidney,Missning one kidney
HP_0000122,Single kidney,Single kfidney
HP_0000122,Unilateral kidney agenesis,ilmteral kidneya genesisk
HP_0000123,Nephritis,Nephriits
HP_0000123,Kidney inflammation,Kidney inflrmmatink
HP_0000124,Renal tubular dysfunction,Renali tuular odysfnucktion
HP_0000124,Abnormal function of filtrating structures in kidney,Abnorma naunction o filtratyng struvctuures tn qkidny
HP_0000124,Renal tubular defect,Renalt wbulra defectn
HP_0000124,Renal tubular disease,Renahubula disease
HP_0000125,Pelvic kidney,Pelvi ckidnmy
HP_0000125,Sacral kidney,Sacral eidaney
HP_0000127,Renal salt wasting,eRnal saltwwasnting
HP_0000127,Loss of salt in urine,Loss ofeslt in urine
HP_0000127,Renal salt-wasting,yjRnal salt-wasting
HP_0000127,Salt wasting,Salt awcting
HP_0000127,Salt-wasting,nSaltw-asting
HP_0000128,Renal potassium wasting,enal potsasiumwasting
HP_0000128,Renal K wasting,Rene lK wastng
HP_0000130,Abnormality of the uterus,Anaormality of he uvers
HP_0000130,Uterine abnormalities,Utesne abnomraliites
HP_0000130,Uterine malformations,Utterine maflormaiyons
HP_0000131,Uterine leiomyoma,Uterise eliomyoam
HP_0000131,Benign uterine leiomyomas,Beigvn uutine leiomyomas
HP_0000131,Uterine fibroid,tUeine fibrod
HP_0000132,Menorrhagia,Mkenorrxhagia
HP_0000132,Abnormally heavy bleeding during menstruation,Abnormayl heevy bleedipngadruing mensturation
HP_0000132,Abnormally heavy periods,bAnormallty havyp eriods
HP_0000132,Hypermenorrhea,gHypermeorrhea
HP_0000133,Gonadal dysgenesis,Gvnadal dsgensis
HP_0000133,Mixed gonadal dysgenesis,Mide gonadl dyrsgenesis
HP_0000133,Pure gonadal dysgenesis,Pure gnoadaldcsgeneis
HP_0000134,Female hypogonadism,Femlmle hypogkonadism
HP_0000134,"Hypogonadism, female","Hypogonaism, efamel"
HP_0000135,Hypogonadism,Hpyogondism
HP_0000135,Decreased activity of gonads,ecreaesd aciity f gonads
HP_0000137,Abnormality of the ovary,Agbnormalityo f the vovary
HP_0000137,Abnormality of the ovaries,cAbnomalitof the ovariesb
HP_0000137,Ovarian disease,vOamian diseas
HP_0000138,Ovarian cyst,Oarian cst
HP_0000138,Cystic abnormalities of the ovaries,Cayjstic ubngrmalyities of tihe ovaies
HP_0000138,Cystic ovaries,Cystin ovariles
HP_0000138,Ovarian cystic abnormality,Ovarian csyic aonrmalitu
HP_0000139,Uterine prolapse,Uterigue prolaose
HP_0000139,Sagging uterus,Saggin utenus
HP_0000140,Abnormality of the menstrual cycle,Abnormality  ofe menstrula cyclj
HP_0000140,Menstrual abnormalities,Mentsrual nbromalities
HP_0000141,Amenorrhea,Aaenorrhjea
HP_0000141,Abnormal absence of menstruation,Abinozrma bysenceo f menstruation
HP_0000142,Abnormal vagina morphology,Abnormax agvina mrrphlogy
HP_0000142,Vaginal malformation,Vagngial maformation
HP_0000143,Rectovaginal fistula,Recoavgina lfpistula
HP_0000143,Abnormal connection between rectum and vagina,Abormal connection ybeween rrctum nh aina
HP_0000144,Decreased fertility,Deceased fertiltd
HP_0000144,Abnormal fertility,Abnormal fretility
HP_0000145,Transverse vaginal septum,xTransverse avginanl esptue
HP_0000145,Transverse vaginal membrane,Transversjezavginal emmbrafne
HP_0000147,Polycystic ovaries,Pjolycstic ovaries
HP_0000147,Polycystic ovary,Polycystito avry
HP_0000147,Sclerocystic ovaries,cSloercystic oxaries
HP_0000147,Polycystic ovary disease,Polycystic vary daieaje
HP_0000148,Vaginal atresia,Vagianl artresa
HP_0000148,Abnormally closed or absent vagina,Abnormall cosod idor absent vabgina
HP_0000149,Ovarian gonadoblastoma,Ovariad gonadoblshma
HP_0000149,"Gonadoblastoma, female","pGonadboalstoa, female"
HP_0000151,Aplasia of the uterus,Aplaszia of tmhen uterdus
HP_0000151,Absent uterus,Abspentvuterus
HP_0000151,uterus absent,euterus basent
HP_0000152,Abnormality of head or neck,Abnrmlityof heid or nekc
HP_0000152,Head and neck abnormality,Hkead aud necc abnormalit
HP_0000153,Abnormality of the mouth,Abnoerpmlity of the mouyh
HP_0000153,Abnormal mouth,Abnorml moudh
HP_0000154,Wide mouth,Widm outh
HP_0000154,Broad mouth,Broamd muoth
HP_0000154,Large mouth,jarge mouti
HP_0000154,Large oral aperture,arge okral perture
HP_0000154,Macrostomia,Macostomija
HP_0000155,Oral ulcer,Oral ulgre
HP_0000155,Mouth sore,Muth soe
HP_0000155,Mouth ulcer,rMouth ulcpr
HP_0000155,Oral mucosal ulceration,Oral mjucoesat ulceraiton
HP_0000157,Abnormality of the tongue,Abnormavhlityt of th etongue
HP_0000157,Abnormal tongue,nAormal tonge
HP_0000157,Glossal abnormality,Gloal abnormaliry
HP_0000157,Lingual abnormality,Lingual baoramlity
HP_0000157,Tongue abnormality,Tongu bnomrality
HP_0000158,Macroglossia,Macorglosia
HP_0000158,Glossal hypertrophy,Glosal eypertropdhy
HP_0000158,Lingual hyperplasia,Lingualzhypeprlasiu
HP_0000158,Lingual hypertrophy,Lnigual hypertrydphy
HP_0000158,Abnormally large tongue,Abnormavlly lfrge toague
HP_0000158,Hyperplasia of the tongue,Hyhpeprlasia of jhe toncgue
HP_0000158,Hypertrophy of the tongue,Hybpertrohpy of the ongue
HP_0000158,Increased size of tongue,Incrfed size of tongue
HP_0000158,Large tongue,Larsge tohngue
HP_0000158,Tongue hypertrophy,Tongue ypertgrophyu
HP_0000159,Abnormal lip morphology,Abnormal llp pmorphtology
HP_0000159,Abnormal lip,Abznormwl lip
HP_0000159,Abnormality of the lip,Abtormality of the lip
HP_0000159,Lip abnormality,Lp abnoramligy
HP_0000159,Anomaly of lip,Anomalyoc f lip
HP_0000159,Deformity of lip,Djefoomiy of lip
HP_0000159,Malformation of lip,aMlformatyionk of lip
HP_0000160,Narrow mouth,Nfarrw mouth
HP_0000160,Microstomia,icrotsomia
HP_0000160,Small mouth,Saml lmouth
HP_0000160,Small oral aperture,Smkll oral axrture
HP_0000161,Median cleft upper lip,Median clft upperip
HP_0000161,Central cleft upper lip,Cenbtral celf upper lic
HP_0000161,Midline cleft lip,Midlie cleftn lpi
HP_0000162,Glossoptosis,Golssoptosi
HP_0000162,Posterior displacement of the tongue,osteroird displacemet of thu tmongye
HP_0000162,Lingual retraction,wingual retractilo
HP_0000162,Retraction of the tongue,Retracito nof the toge
HP_0000163,Abnormal oral cavity morphology,Abnorual ofral czavit ymopholoby
HP_0000163,Abnormality of the oral cavity,Abnormality of tzvhhe ora lcvitwy
HP_0000164,Abnormality of the dentition,Abnormalty ofzthe dentiioen
HP_0000164,Abnormal dentition,Abnoraml dentitiro
HP_0000164,Abnormal teeth,Abnormakl txeth
HP_0000164,Dental abnormalities,Dentwal abnromliities
HP_0000164,Dental abnormality,Dneal abnomrality
HP_0000164,Dental anomalies,uenmtalanomalies
HP_0000164,Abnormality of the teeth,Abnorlmapilty oft he teeth
HP_0000164,Dental problem,Dental poblnm
HP_0000164,Dental problems,Djxntal problms
HP_0000164,Tooth abnormalities,Tlooth abnokrmalties
HP_0000166,Severe periodontitis,Sverd perodontiits
HP_0000166,Severe gum disease,evere gu diesase
HP_0000166,Severe periodontal disease,Setere prioosdntas disease
HP_0000166,Severe pyorrhea,vSevree pyorrhka
HP_0000168,Abnormality of the gingiva,Abonrmaliety fo the gingiava
HP_0000168,Abnormality of the gums,zbnormanitn of the gums
HP_0000168,Gingival abnormality,Ginwgifyal abnocmality
HP_0000169,Gingival fibromatosis,Gningival iqbroomatosis
HP_0000169,Gingival fibroma,Gzingiva fibrova
HP_0000169,Gingival fibrous nodules,Giengival fierous nowdles
HP_0000169,Hereditary gingival fibromatosis,Herqdiatr gingival fixbomatsois
HP_0000169,Idiopathic gingival hyperplasia,Idiopathic gigival hyperplsaaa
HP_0000171,Microglossia,Microglossia
HP_0000171,Abnormally small tongue,Abtorgallyshmall tongue
HP_0000171,Decreased size of tongue,Decraesed eize of tnouge
HP_0000171,Hypoglossia,Hypoglosshwa
HP_0000171,Hypoplasia of the tongue,Hypoplasia of tlentonuge
HP_0000171,Hypoplastic tongue,Hypolpastiqyc tongue
HP_0000171,Lingual hypoplasia,Ligual hypoplaszia
HP_0000171,Rudimentary tongue,Rudimentamr tonguj
HP_0000171,Small tongue,Small qongue
HP_0000171,Underdevelopment of the tongue,Underdevelopmn tt he toingue
HP_0000172,Abnormal uvula morphology,Abnormalv ulys orphology
HP_0000172,Abnormality of palatine uvula,Abnromaeity of palatien uvrl
HP_0000172,Abnormality of the uvula,Abnoryality of mthe uuvla
HP_0000174,Abnormal palate morphology,Abnomral pltae murpxology
HP_0000174,Abnormality of the palate,Asormality ofth plate
HP_0000174,Abnormality of the roof of the mouth,Abnormalisty ofthe rouof of hemouth
HP_0000174,Palatal anomaly,Plaatl anomaly
HP_0000174,Palate abnormality,Paate abnrmaliry
HP_0000175,Cleft palate,Cleft balate
HP_0000175,Cleft secondary palate,Celf tsecondar palate
HP_0000175,Cleft hard and soft palate,Cledth ard adn sot pwlate
HP_0000175,Cleft of hard and soft palate,Clet of harsd andsoft palatb
HP_0000175,Cleft of palate,Cleft hf paltare
HP_0000175,Cleft roof of mouth,lCeft rpoof ofmouth
HP_0000175,Palatoschisis,Palaoschisiis
HP_0000175,Uranostaphyloschisis,Uranostphyochiiss
HP_0000176,Submucous cleft hard palate,mubumcous clft hard paalate
HP_0000176,Partial thickness cleft hard palate,Pbrtil thicknss clefg hriad papate
HP_0000176,Submucosal cleft palate,Squbmucosal clefftypalate
HP_0000176,Submucous clefting,pSuibmucouhs clefting
HP_0000177,Abnormal upper lip morphology,Abnormal upze rlip mophlooyg
HP_0000177,Abnormality of upper lip,Abnomuality of iupper li
HP_0000177,Anomaly of the upper lip,Anomalya oft he qpper lipb
HP_0000177,Deformity of the upper lip,Derfrmity oftheuwpper lip
HP_0000177,Malformation of the upper lip,Mlaformatioon f the uppe laip
HP_0000178,Abnormal lower lip morphology,Abngremari lxower lip morphology
HP_0000178,Abnormality of lower lip,Abnomaity of lowersldip
HP_0000178,Anomaly of the lower lip,Anomaly ofh elower ulip
HP_0000178,Deformity of the lower lip,Defovdmity o fth eloer lip
HP_0000178,Malformation of the lower lip,Masflormjatiln of txhe lower lip
HP_0000179,Thick lower lip vermilion,Thick lowerl ip evrhilion
HP_0000179,Full lower lip vermilion,kll lower lip vermilicn
HP_0000179,Increased height of lower lip vermilion,Inrceased hdihgt of lowex lip vlezrmiliof
HP_0000179,Increased volume of lower lip,Increased volhme pf werlip
HP_0000179,Increased volume of lower lip vermilion,Incrnased volue of lwwebr lip xvemmilino
HP_0000179,Plump lower lip,Pump loweplip
